Afghanistan,2021-08-11,"Johnson&Johnson,Oxford/AstraZeneca,Pfizer/BioNTech,Sinopharm/Beijing",https://covid19.who.int/,1809517,770302,
Albania,2021-08-10,"Oxford/AstraZeneca,Pfizer/BioNTech,Sinovac,SputnikV",https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-1280239-vaksinime/,1280239,720232,560007
Algeria,2021-07-29,"Oxford/AstraZeneca,Sinopharm/Beijing,Sinovac,SputnikV",https://www.elkhabar.com/press/article/190912/%D9%87%D8%B0%D8%A7-%D9%87%D9%88-%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D9%85%D9%84%D9%82%D8%AD%D9%8A%D9%86-%D8%A8%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1/,4146091,3421279,724812
Andorra,2021-07-19,"Oxford/AstraZeneca,Pfizer/BioNTech",https://www.govern.ad/covid19_newsletter/,82349,48445,33904
Angola,2021-08-09,Oxford/AstraZeneca,https://covid19.who.int/,1695588,972978,722610
Anguilla,2021-08-06,Oxford/AstraZeneca,https://covid19.who.int/,18457,9492,8965
AntiguaandBarbuda,2021-08-10,Oxford/AstraZeneca,https://covid19.gov.ag,70019,38605,31414
Argentina,2021-08-10,"Moderna,Oxford/AstraZeneca,Sinopharm/Beijing,SputnikV",http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,35247776,26293313,8954463
Armenia,2021-08-08,"Oxford/AstraZeneca,Sinovac,SputnikV",https://www.facebook.com/ministryofhealthcare/posts/3006799932894449,194902,132529,62373
Aruba,2021-08-11,Pfizer/BioNTech,https://www.government.aw,140901,73738,67163
Australia,2021-08-11,"Oxford/AstraZeneca,Pfizer/BioNTech",https://covidlive.com.au/vaccinations,14214009,9361037,4852972
Austria,2021-08-11,"Johnson&Johnson,Moderna,Oxford/AstraZeneca,Pfizer/BioNTech",https://info.gesundheitsministerium.gv.at/opendata/,10080677,5371954,4926407
